repo
0x2E/fusion
0x80/isolate-package
0xfurai/peekaping
1340691923/ElasticView
14790897/handwriting-web
1c-syntax/bsl-language-server
514-labs/moose
567-labs/instructor
567-labs/kura
567-labs/systematically-improving-rag
AArnott/Nerdbank.MessagePack
AArnott/Xunit.SkippableFact
AIDotNet/OpenDeepWiki
AIDotNet/Thor
AInoob/NooBoss
AdnaneKhan/gato-x
AdoptOpenJDK/openjdk-website
Afilmory/afilmory
AfterShip/clickhouse-sql-parser
AgentDock/AgentDock
AgentOps-AI/agentops
Agoric/agoric-sdk
Aiko-IT-Systems/DisCatSharp
AirLabsTeam/react-drag-to-select
Akira-Papa/Claude-Code-Communication
Albeoris/Memoria
Alfresco/alfresco-ng2-components
AliAkhtari78/SpotifyScraper
AmoabaKelvin/ishortn.ink
AmoyLab/Unla
Animetailapp/Animetail
AnswerDotAI/shell_sage
AnswerOverflow/AnswerOverflow
Anush008/fastembed-rs
Apocrathia/home-assistant-config
Apollon77/ioBroker.alexa2
App-vNext/Polly
Arenukvern/mcp_flutter
Arize-ai/openinference
Arize-ai/phoenix
AstrBotDevs/AstrBot
AutoMQ/automq
AvaloniaInside/Shell
Avarok-Cybersecurity/Citadel-Protocol
AyuGram/AyuGramDesktop
Azure-Samples/AzureMapsCodeSamples
Azure-Samples/aisearch-openai-rag-audio
Azure-Samples/azure-ai-travel-agents
Azure-Samples/azure-search-openai-demo
Azure-Samples/azure-search-openai-demo-csharp
Azure-Samples/azure-search-openai-demo-java
Azure-Samples/chat-with-your-data-solution-accelerator
Azure-Samples/openai-chat-app-quickstart
Azure-Samples/openai-chat-vision-quickstart
Azure-Samples/rag-postgres-openai-python
Azure-Samples/serverless-chat-langchainjs
Azure/AgentBaker
Azure/AppConfiguration
Azure/Azure-Sentinel
Azure/CloudShell
Azure/Enterprise-Scale
Azure/PSRule.Rules.Azure
Azure/autorest
Azure/autorest.csharp
Azure/autorest.typescript
Azure/awesome-azd
Azure/azqr
Azure/azure-cli-extensions
Azure/azure-container-networking
Azure/azure-cosmos-dotnet-v3
Azure/azure-dev
Azure/azure-functions-core-tools
Azure/azure-functions-host
Azure/azure-functions-kafka-extension
Azure/azure-kusto-python
Azure/azure-mcp
Azure/azure-quickstart-templates
Azure/azure-rest-api-specs
